Ordem;Família;Material;#;Stock inical;nº NE's;UN
197;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 42;62;0;1;UN
198;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 43;62;0;1;UN
199;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 44;62;0;1;UN
200;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 45;62;0;1;UN
201;PICH;BOTÃO AUTOCLISMO 1 AGUA OLI;27;35;1;UN
202;ELE;BOTÃO BASCULANTE INTERIOR EFAPEL SERIE 7000;43;33;1;UN
203;ELE;BOTÃO BASCULANTE LUMINOSO INTERIOR EFAPEL SERIE 7000;52;0;1;UN
204;PICH;BOTÃO DE AUTOCLISMO OLI;23;6;1;UN
205;ELE;BOTÃO DE PRESSÃO LUMINOSO EXTERIOR IP65;39;-4;1;UN
206;ELE;BOTÃO DE PRESSÃO NÃO LUMINOSO EXTERIOR IP65;43;0;1;UN
207;DIV;BROCA HSS COBALTO P/INOX_ 1,5MM;31;16;2;UN
208;DIV;BROCA HSS COBALTO P/INOX_ 10,5MM;32;28;3;UN
209;DIV;BROCA HSS COBALTO P/INOX_ 10MM;30;27;3;UN
210;DIV;BROCA HSS COBALTO P/INOX_ 11,5MM;32;10;1;UN
211;DIV;BROCA HSS COBALTO P/INOX_ 11MM;30;8;1;UN
212;DIV;BROCA HSS COBALTO P/INOX_ 12,5MM;32;10;1;UN
213;DIV;BROCA HSS COBALTO P/INOX_ 12MM;30;8;1;UN
214;DIV;BROCA HSS COBALTO P/INOX_ 13,5MM;32;4;1;UN
215;DIV;BROCA HSS COBALTO P/INOX_ 13MM;30;8;1;UN
216;DIV;BROCA HSS COBALTO P/INOX_ 14MM;30;8;1;UN
217;DIV;BROCA HSS COBALTO P/INOX_ 18MM;30;1;1;UN
218;DIV;BROCA HSS COBALTO P/INOX_ 1MM;29;17;2;UN
219;DIV;BROCA HSS COBALTO P/INOX_ 2,5MM;31;17;3;UN
220;DIV;BROCA HSS COBALTO P/INOX_ 2MM;29;20;3;UN
221;DIV;BROCA HSS COBALTO P/INOX_ 3,5MM;31;15;3;UN
222;DIV;BROCA HSS COBALTO P/INOX_ 3MM;29;10;3;UN
223;DIV;BROCA HSS COBALTO P/INOX_ 4,5MM;31;11;3;UN
224;DIV;BROCA HSS COBALTO P/INOX_ 4MM;29;13;3;UN
225;DIV;BROCA HSS COBALTO P/INOX_ 5,5MM;31;25;3;UN
